,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2022년 01월 01일,13,92,166,38,105,147,109,102,1835,4,62,168,45,266,366,278,1813
2021년 12월 31일,13,91,161,37,105,144,109,102,1822,4,62,167,44,265,364,271,1786
2021년 12월 30일,13,87,152,37,99,141,108,100,1792,4,62,165,41,260,361,266,1751
2021년 12월 29일,13,85,150,37,99,135,108,99,1766,4,61,164,39,257,359,261,1729
2021년 12월 28일,13,85,149,37,99,133,108,99,1760,4,61,161,39,250,356,255,1721
2021년 12월 27일,13,85,149,37,98,131,107,99,1744,4,61,161,38,249,356,254,1698
2021년 12월 26일,13,85,148,34,98,128,107,98,1733,3,61,156,38,241,356,249,1681
2021년 12월 25일,13,82,145,34,97,125,106,97,1702,3,61,154,37,238,356,247,1663
2021년 12월 24일,13,81,143,34,97,123,105,97,1666,3,61,148,37,234,354,244,1615
2021년 12월 23일,13,79,140,34,97,122,105,97,1648,3,61,145,37,230,349,241,1598
2021년 12월 22일,13,77,135,32,97,122,104,96,1609,3,60,129,36,224,348,236,1569
2021년 12월 21일,13,76,133,32,95,122,102,95,1586,3,60,122,35,222,346,233,1537
2021년 12월 20일,13,74,132,31,94,119,101,94,1572,3,59,119,35,218,346,229,1521
2021년 12월 19일,12,70,132,30,93,118,101,93,1555,3,59,118,34,213,344,228,1503
2021년 12월 18일,11,67,131,30,92,115,101,91,1530,3,59,110,33,210,341,225,1479
2021년 12월 17일,11,67,131,30,91,112,99,90,1514,3,59,110,32,205,339,221,1461
2021년 12월 16일,10,67,128,30,89,110,98,89,1490,3,59,101,32,201,339,218,1438
2021년 12월 15일,10,66,127,29,87,108,98,88,1472,3,59,100,32,195,338,210,1418
2021년 12월 14일,10,66,126,29,87,103,97,86,1450,3,57,95,32,192,336,207,1395
2021년 12월 13일,10,65,124,29,86,101,97,84,1423,3,57,89,32,186,334,201,1356
2021년 12월 12일,10,65,121,29,85,99,96,84,1413,3,57,87,32,181,334,201,1340
2021년 12월 11일,10,64,120,29,85,94,96,82,1401,3,57,85,32,177,333,198,1328
2021년 12월 10일,10,64,116,28,85,91,96,81,1366,3,57,81,32,176,330,194,1304
2021년 12월 09일,10,63,116,28,84,90,96,80,1350,3,57,78,32,173,328,193,1280
2021년 12월 08일,9,63,115,28,83,87,95,79,1330,3,57,75,32,168,326,191,1263
2021년 12월 07일,9,63,115,27,80,87,95,78,1304,3,57,74,31,166,325,188,1239
2021년 12월 06일,9,62,112,27,79,84,95,78,1279,3,57,74,31,164,323,186,1214
2021년 12월 05일,9,62,111,27,78,84,95,76,1268,3,57,73,31,163,322,184,1193
2021년 12월 04일,9,58,111,27,78,84,93,75,1255,2,57,71,31,161,320,183,1178
2021년 12월 03일,9,56,110,27,76,83,92,75,1231,2,57,71,30,155,318,183,1148
2021년 12월 02일,9,56,110,27,76,80,92,75,1215,2,57,70,30,154,317,183,1136
2021년 12월 01일,9,56,110,26,76,78,92,74,1202,2,57,68,30,151,315,183,1113
2021년 11월 30일,9,56,109,26,75,77,92,73,1192,2,57,64,30,148,315,183,1100
2021년 11월 29일,9,56,108,26,74,77,91,72,1175,2,57,64,30,143,314,182,1084
2021년 11월 28일,9,56,106,25,73,77,90,72,1167,2,57,63,30,141,311,181,1072
2021년 11월 27일,9,52,105,25,73,76,90,72,1151,2,57,60,30,139,308,181,1046
2021년 11월 26일,9,52,103,25,72,76,90,71,1131,2,57,60,30,137,305,179,1025
2021년 11월 25일,9,52,102,25,72,76,89,71,1118,2,57,59,30,136,304,179,1004
2021년 11월 24일,9,50,100,25,72,76,89,71,1101,2,57,58,30,132,303,178,993
2021년 11월 23일,9,50,100,25,71,76,89,71,1091,2,57,57,30,131,302,178,973
2021년 11월 22일,9,48,100,25,70,75,89,70,1082,2,57,56,30,129,302,178,960
2021년 11월 21일,9,47,100,25,70,75,89,69,1072,2,57,56,30,127,300,178,952
2021년 11월 20일,9,47,100,25,70,74,89,69,1061,2,57,56,29,126,296,177,941
2021년 11월 19일,9,47,100,25,70,73,88,68,1054,2,57,56,29,125,295,175,926
2021년 11월 18일,9,46,99,25,70,72,88,68,1047,2,57,56,29,123,293,175,912
2021년 11월 17일,8,46,98,25,70,68,88,68,1043,2,57,56,29,121,291,174,898
2021년 11월 16일,7,46,98,25,69,68,88,68,1036,2,57,56,29,120,290,172,890
2021년 11월 15일,7,45,98,24,69,68,87,68,1030,2,57,56,29,119,290,171,879
2021년 11월 14일,7,45,98,24,69,68,87,68,1023,2,57,56,29,118,289,171,876
2021년 11월 13일,5,44,97,24,69,68,87,68,1018,2,57,56,29,118,285,171,869
2021년 11월 12일,5,44,96,22,69,68,87,68,1003,2,57,56,29,114,284,170,861
2021년 11월 11일,5,44,96,22,69,66,87,68,996,2,57,56,29,113,283,169,855
2021년 11월 10일,5,44,95,22,69,66,87,68,989,2,57,56,29,113,281,169,844
2021년 11월 09일,5,44,95,22,69,66,86,68,982,2,56,56,29,112,281,169,840
