"행정구역","2017년01월_남자인구수","2017년01월_여자인구수","2017년01월_계","2017년02월_남자인구수","2017년02월_여자인구수","2017년02월_계","2017년03월_남자인구수","2017년03월_여자인구수","2017년03월_계","2017년04월_남자인구수","2017년04월_여자인구수","2017년04월_계","2017년05월_남자인구수","2017년05월_여자인구수","2017년05월_계","2017년06월_남자인구수","2017년06월_여자인구수","2017년06월_계","2017년07월_남자인구수","2017년07월_여자인구수","2017년07월_계","2017년08월_남자인구수","2017년08월_여자인구수","2017년08월_계","2017년09월_남자인구수","2017년09월_여자인구수","2017년09월_계","2017년10월_남자인구수","2017년10월_여자인구수","2017년10월_계","2017년11월_남자인구수","2017년11월_여자인구수","2017년11월_계","2017년12월_남자인구수","2017년12월_여자인구수","2017년12월_계","2018년01월_남자인구수","2018년01월_여자인구수","2018년01월_계","2018년02월_남자인구수","2018년02월_여자인구수","2018년02월_계","2018년03월_남자인구수","2018년03월_여자인구수","2018년03월_계","2018년04월_남자인구수","2018년04월_여자인구수","2018년04월_계","2018년05월_남자인구수","2018년05월_여자인구수","2018년05월_계","2018년06월_남자인구수","2018년06월_여자인구수","2018년06월_계","2018년07월_남자인구수","2018년07월_여자인구수","2018년07월_계","2018년08월_남자인구수","2018년08월_여자인구수","2018년08월_계","2018년09월_남자인구수","2018년09월_여자인구수","2018년09월_계","2018년10월_남자인구수","2018년10월_여자인구수","2018년10월_계","2018년11월_남자인구수","2018년11월_여자인구수","2018년11월_계","2018년12월_남자인구수","2018년12월_여자인구수","2018년12월_계","2019년01월_남자인구수","2019년01월_여자인구수","2019년01월_계","2019년02월_남자인구수","2019년02월_여자인구수","2019년02월_계","2019년03월_남자인구수","2019년03월_여자인구수","2019년03월_계","2019년04월_남자인구수","2019년04월_여자인구수","2019년04월_계","2019년05월_남자인구수","2019년05월_여자인구수","2019년05월_계","2019년06월_남자인구수","2019년06월_여자인구수","2019년06월_계","2019년07월_남자인구수","2019년07월_여자인구수","2019년07월_계","2019년08월_남자인구수","2019년08월_여자인구수","2019년08월_계","2019년09월_남자인구수","2019년09월_여자인구수","2019년09월_계","2019년10월_남자인구수","2019년10월_여자인구수","2019년10월_계","2019년11월_남자인구수","2019년11월_여자인구수","2019년11월_계","2019년12월_남자인구수","2019년12월_여자인구수","2019년12월_계"
"전국  (1000000000)","15,874","14,988","30,862","16,455","15,786","32,241","17,469","16,367","33,836","15,039","14,203","29,242","17,128","16,046","33,174","15,469","14,442","29,911","14,909","13,934","28,843","16,071","15,220","31,291","15,451","14,638","30,089","14,477","13,738","28,215","14,837","13,711","28,548","13,758","12,857","26,615","15,657","14,958","30,615","14,038","13,556","27,594","15,461","14,729","30,190","14,724","13,927","28,651","15,112","14,519","29,631","13,654","12,776","26,430","14,162","13,714","27,876","14,711","13,857","28,568","12,700","11,865","24,565","14,924","14,205","29,129","13,414","12,691","26,105","12,704","12,057","24,761","14,506","13,649","28,155","13,262","12,677","25,939","13,517","13,008","26,525","14,101","13,255","27,356","14,068","13,139","27,207","11,824","11,129","22,953","13,772","13,126","26,898","12,749","12,068","24,817","12,489","11,616","24,105","13,303","13,000","26,303","12,355","11,830","24,185","12,422","11,832","24,254"
"서울특별시  (1100000000)","2,908","2,617","5,525","3,026","2,895","5,921","3,229","3,054","6,283","2,712","2,670","5,382","3,073","2,968","6,041","2,848","2,666","5,514","2,650","2,568","5,218","2,879","2,730","5,609","2,825","2,728","5,553","2,617","2,483","5,100","2,622","2,527","5,149","2,582","2,405","4,987","2,739","2,598","5,337","2,528","2,435","4,963","2,666","2,551","5,217","2,635","2,472","5,107","2,688","2,500","5,188","2,511","2,158","4,669","2,629","2,453","5,082","2,713","2,432","5,145","2,326","2,164","4,490","2,677","2,471","5,148","2,439","2,227","4,666","2,368","2,173","4,541","2,514","2,357","4,871","2,353","2,212","4,565","2,417","2,238","4,655","2,536","2,340","4,876","2,533","2,347","4,880","2,133","1,991","4,124","2,528","2,346","4,874","2,218","2,138","4,356","2,313","2,046","4,359","2,380","2,296","4,676","2,204","2,094","4,298","2,208","2,040","4,248"
"부산광역시  (2600000000)","937","940","1,877","944","940","1,884","1,072","995","2,067","898","866","1,764","1,059","933","1,992","957","855","1,812","912","818","1,730","925","913","1,838","895","882","1,777","871","815","1,686","888","876","1,764","855","750","1,605","921","888","1,809","865","767","1,632","936","861","1,797","887","821","1,708","932","865","1,797","873","749","1,622","787","869","1,656","814","835","1,649","706","673","1,379","873","795","1,668","789","739","1,528","730","717","1,447","770","795","1,565","703","679","1,382","791","757","1,548","807","771","1,578","770","728","1,498","662","655","1,317","759","752","1,511","735","704","1,439","684","658","1,342","718","710","1,428","701","659","1,360","756","658","1,414"
"대구광역시  (2700000000)","719","672","1,391","759","705","1,464","776","719","1,495","662","662","1,324","794","714","1,508","707","710","1,417","628","614","1,242","715","659","1,374","672","594","1,266","649","586","1,235","685","593","1,278","618","573","1,191","626","702","1,328","632","610","1,242","722","656","1,378","607","597","1,204","695","700","1,395","606","579","1,185","594","624","1,218","655","612","1,267","533","474","1,007","638","641","1,279","573","550","1,123","539","509","1,048","643","545","1,188","571","532","1,103","619","586","1,205","612","575","1,187","591","559","1,150","511","489","1,000","581","540","1,121","611","473","1,084","535","516","1,051","602","557","1,159","566","520","1,086","593","538","1,131"
"인천광역시  (2800000000)","943","865","1,808","887","911","1,798","1,002","959","1,961","871","801","1,672","984","891","1,875","854","802","1,656","873","831","1,704","939","921","1,860","883","838","1,721","932","814","1,746","838","729","1,567","751","685","1,436","939","824","1,763","883","822","1,705","947","855","1,802","864","848","1,712","894","836","1,730","801","784","1,585","867","843","1,710","837","879","1,716","782","771","1,553","938","857","1,795","868","816","1,684","796","844","1,640","908","858","1,766","830","777","1,607","858","808","1,666","870","784","1,654","885","807","1,692","777","627","1,404","832","786","1,618","755","747","1,502","758","733","1,491","822","789","1,611","758","664","1,422","754","715","1,469"
"광주광역시  (2900000000)","487","401","888","473","444","917","540","495","1,035","433","402","835","477","426","903","451","420","871","442","399","841","423","387","810","432","370","802","406","419","825","419","382","801","363","390","753","468","413","881","377","377","754","469","404","873","427","394","821","444","431","875","407","340","747","404","364","768","412","393","805","346","334","680","406","398","804","337","328","665","352","320","672","365","364","729","339","340","679","374","354","728","371","348","719","384","374","758","294","340","634","388","392","780","355","350","705","336","334","670","371","345","716","351","342","693","321","329","650"
"대전광역시  (3000000000)","453","445","898","523","492","1,015","562","536","1,098","429","447","876","490","521","1,011","446","453","899","494","405","899","535","464","999","476","411","887","460","386","846","409","385","794","414","370","784","452","469","921","400","360","760","428","428","856","418","419","837","451","424","875","409","395","804","409","421","830","388","394","782","343","316","659","394","389","783","412","377","789","352","324","676","413","388","801","387","349","736","391","385","776","382","385","767","399","373","772","340","312","652","360","376","736","334","350","684","351","338","689","351","351","702","325","345","670","335","318","653"
"울산광역시  (3100000000)","451","412","863","413","402","815","456","415","871","397","398","795","433","439","872","407","357","764","378","334","712","441","372","813","439","369","808","398","375","773","415","360","775","350","351","701","378","353","731","357","331","688","367","382","749","405","331","736","406","374","780","301","334","635","327","348","675","374","338","712","318","305","623","395","329","724","327","311","638","297","297","594","376","324","700","308","314","622","318","311","629","361","352","713","355","314","669","284","282","566","335","320","655","316","300","616","297","270","567","356","332","688","294","294","588","295","329","624"
"세종특별자치시  (3600000000)","145","130","275","151","164","315","140","146","286","127","129","256","166","155","321","147","131","278","154","127","281","148","156","304","162","168","330","151","150","301","149","144","293","115","147","262","182","162","344","138","161","299","178","150","328","154","166","320","159","156","315","148","141","289","165","164","329","175","161","336","142","92","234","166","173","339","179","156","335","179","146","325","177","178","355","150","174","324","172","205","377","162","179","341","186","166","352","153","137","290","156","150","306","161","158","319","127","131","258","169","149","318","164","179","343","178","134","312"
"경기도  (4100000000)","4,099","4,036","8,135","4,337","4,064","8,401","4,529","4,326","8,855","3,966","3,664","7,630","4,562","4,210","8,772","4,083","3,750","7,833","3,950","3,694","7,644","4,253","3,960","8,213","4,098","3,875","7,973","3,735","3,651","7,386","3,961","3,661","7,622","3,656","3,427","7,083","4,213","4,002","8,215","3,675","3,776","7,451","4,002","3,944","7,946","3,945","3,760","7,705","3,985","3,920","7,905","3,670","3,500","7,170","3,821","3,706","7,527","4,000","3,695","7,695","3,522","3,219","6,741","4,129","3,924","8,053","3,649","3,357","7,006","3,469","3,261","6,730","4,004","3,790","7,794","3,676","3,511","7,187","3,668","3,478","7,146","3,849","3,611","7,460","3,857","3,584","7,441","3,238","3,046","6,284","3,865","3,667","7,532","3,524","3,283","6,807","3,519","3,236","6,755","3,763","3,654","7,417","3,387","3,279","6,666","3,357","3,371","6,728"
