"행정구역","2020년01월_남자인구수","2020년01월_여자인구수","2020년01월_계","2020년02월_남자인구수","2020년02월_여자인구수","2020년02월_계","2020년03월_남자인구수","2020년03월_여자인구수","2020년03월_계","2020년04월_남자인구수","2020년04월_여자인구수","2020년04월_계","2020년05월_남자인구수","2020년05월_여자인구수","2020년05월_계","2020년06월_남자인구수","2020년06월_여자인구수","2020년06월_계","2020년07월_남자인구수","2020년07월_여자인구수","2020년07월_계","2020년08월_남자인구수","2020년08월_여자인구수","2020년08월_계","2020년09월_남자인구수","2020년09월_여자인구수","2020년09월_계","2020년10월_남자인구수","2020년10월_여자인구수","2020년10월_계","2020년11월_남자인구수","2020년11월_여자인구수","2020년11월_계","2020년12월_남자인구수","2020년12월_여자인구수","2020년12월_계","2021년01월_남자인구수","2021년01월_여자인구수","2021년01월_계","2021년02월_남자인구수","2021년02월_여자인구수","2021년02월_계","2021년03월_남자인구수","2021년03월_여자인구수","2021년03월_계","2021년04월_남자인구수","2021년04월_여자인구수","2021년04월_계","2021년05월_남자인구수","2021년05월_여자인구수","2021년05월_계","2021년06월_남자인구수","2021년06월_여자인구수","2021년06월_계","2021년07월_남자인구수","2021년07월_여자인구수","2021년07월_계","2021년08월_남자인구수","2021년08월_여자인구수","2021년08월_계","2021년09월_남자인구수","2021년09월_여자인구수","2021년09월_계","2021년10월_남자인구수","2021년10월_여자인구수","2021년10월_계","2021년11월_남자인구수","2021년11월_여자인구수","2021년11월_계"
"전국  (1000000000)","12,700","11,993","24,693","11,774","11,275","23,049","13,308","12,663","25,971","11,798","11,234","23,032","11,671","11,123","22,794","11,632","10,943","22,575","12,086","11,635","23,721","11,266","10,694","21,960","12,323","11,897","24,220","10,879","10,302","21,181","10,751","10,292","21,043","11,075","10,501","21,576","11,229","10,653","21,882","11,003","10,404","21,407","12,758","12,052","24,810","11,800","11,310","23,110","11,219","10,688","21,907","11,360","10,652","22,012","11,597","11,177","22,774","11,728","11,128","22,856","11,111","10,625","21,736","10,844","10,343","21,187","10,457","9,948","20,405"
"서울특별시  (1100000000)","2,236","2,062","4,298","2,045","1,981","4,026","2,272","2,095","4,367","2,031","1,896","3,927","2,074","1,981","4,055","2,003","1,972","3,975","2,088","1,958","4,046","2,018","1,902","3,920","2,159","2,118","4,277","1,950","1,753","3,703","1,867","1,760","3,627","1,976","1,858","3,834","1,933","1,835","3,768","1,886","1,833","3,719","2,204","2,153","4,357","2,023","1,950","3,973","2,027","1,935","3,962","2,142","1,871","4,013","2,046","1,896","3,942","1,976","1,865","3,841","1,892","1,833","3,725","1,898","1,763","3,661","1,891","1,699","3,590"
"부산광역시  (2600000000)","731","706","1,437","686","603","1,289","722","705","1,427","625","624","1,249","654","643","1,297","638","577","1,215","670","594","1,264","672","622","1,294","725","649","1,374","594","576","1,170","571","572","1,143","611","524","1,135","544","540","1,084","622","570","1,192","719","640","1,359","634","624","1,258","634","631","1,265","631","602","1,233","690","621","1,311","669","651","1,320","626","591","1,217","607","605","1,212","600","555","1,155"
"대구광역시  (2700000000)","521","494","1,015","516","479","995","551","559","1,110","443","487","930","509","441","950","468","473","941","530","485","1,015","518","445","963","489","465","954","432","415","847","427","405","832","398","401","799","428","406","834","471","407","878","526","457","983","455","442","897","486","441","927","473","461","934","460","463","923","517","439","956","481","449","930","456","438","894","414","387","801"
"인천광역시  (2800000000)","750","679","1,429","697","674","1,371","765","763","1,528","726","658","1,384","681","695","1,376","712","616","1,328","679","707","1,386","708","622","1,330","710","698","1,408","638","569","1,207","638","588","1,226","646","621","1,267","677","645","1,322","639","569","1,208","728","680","1,408","650","599","1,249","666","598","1,264","626","615","1,241","645","622","1,267","632","668","1,300","643","619","1,262","655","658","1,313","599","560","1,159"
"광주광역시  (2900000000)","342","347","689","297","288","585","346","363","709","307","308","615","294","296","590","289","300","589","296","313","609","325","312","637","336","301","637","312","269","581","290","293","583","285","301","586","346","338","684","319","308","627","384","359","743","364","326","690","343","335","678","346","311","657","349","369","718","346","356","702","362","334","696","305","318","623","321","320","641"
"대전광역시  (3000000000)","346","332","678","366","305","671","388","348","736","306","272","578","326","328","654","335","276","611","315","285","600","311","297","608","343","339","682","308","266","574","308","283","591","311","297","608","316","269","585","289","289","578","362","348","710","350","331","681","331","301","632","362","316","678","324","309","633","328","303","631","305","283","588","329","272","601","297","273","570"
"울산광역시  (3100000000)","303","330","633","264","278","542","342","305","647","293","282","575","286","269","555","261","274","535","256","272","528","279","303","582","269","304","573","278","244","522","242","257","499","269","251","520","279","234","513","255","232","487","296","262","558","275","281","556","269","266","535","260","259","519","287","259","546","271","245","516","272","262","534","257","224","481","250","240","490"
"세종특별자치시  (3600000000)","211","171","382","123","138","261","175","179","354","177","135","312","137","129","266","131","127","258","152","167","319","136","158","294","133","120","253","132","128","260","136","126","262","129","150","279","138","137","275","177","135","312","182","189","371","145","174","319","161","130","291","143","139","282","155","161","316","139","150","289","145","157","302","162","154","316","148","129","277"
"경기도  (4100000000)","3,486","3,349","6,835","3,261","3,207","6,468","3,738","3,594","7,332","3,349","3,179","6,528","3,191","3,199","6,390","3,453","3,082","6,535","3,647","3,529","7,176","2,967","2,770","5,737","3,540","3,505","7,045","3,074","3,024","6,098","3,173","2,972","6,145","3,232","3,066","6,298","3,304","3,164","6,468","3,251","3,011","6,262","3,672","3,522","7,194","3,675","3,387","7,062","3,137","2,951","6,088","3,226","3,151","6,377","3,317","3,326","6,643","3,476","3,276","6,752","3,238","3,063","6,301","3,116","3,079","6,195","3,051","2,964","6,015"
"강원도  (4200000000)","342","328","670","319","290","609","404","382","786","324","375","699","340","309","649","334","334","668","357","298","655","280","317","597","354","339","693","300","317","617","337","295","632","327","314","641","315","334","649","309","297","606","352","347","699","301","325","626","302","283","585","303","269","572","343","305","648","380","324","704","273","303","576","317","287","604","310","302","612"
"충청북도  (4300000000)","428","437","865","364","365","729","427","376","803","375","328","703","372","364","736","367","349","716","331","383","714","390","322","712","411","354","765","315","321","636","362","329","691","337","341","678","383","309","692","335","343","678","373","385","758","372","359","731","365","373","738","341","347","688","337","341","678","380","353","733","361","315","676","330","333","663","313","328","641"
