관리기관명,소재지지번주소,설치년월,보관일수,카메라대수,경도,소재지도로명주소,위도,설치목적구분,촬영방면정보,데이터기준일자,카메라화소수,관리기관전화번호
성남시청,경기도 성남시 분당구 수내동 44번지,,0,1,127.114393,,37.381873,재난재해,백현교,2018-03-07,,02-2100-5397
성남시청,경기도 성남시 분당구 구미동 78번지,,0,1,127.120161,,37.351102,재난재해,미금교,2018-03-07,,02-2100-5397
경기도지사,경기도 성남시 수정구 복정동 672,2003-06,30,4,127.127678,경기도 성남시 수정구 성남대로 1480번길 12,37.461671,생활방범,,2017-04-19,200,031-759-5082
경기도혈액원,경기도 성남시 분당구 야탑동 353-5 분당종합상가 3층,2015-12,30,2,127.127623,경기도 성남시 분당구 야탑로 69번길 24-8 분당종합상가 3층,37.411607,생활방범,,2017-04-19,200,031-707-3791
경기도혈액원,경기도 성남시 분당구 서현동 269-5 서원빌딩 4층,2015-11,30,2,127.121541,경기도 성남시 분당구 분당로 53번길 11 서원빌딩 4층,37.384031,생활방범,,2017-04-19,130,031-707-3795
국토교통부 철도특별사법경찰대,,2016-11,30,25,127.111490,경기도 성남시 분당구 삼평동 산25-1 판교역,37.395036,생활방범,역사 출입구 및 역구내,2017-11-15,130,042-615-5895
국토교통부 철도특별사법경찰대,,2016-11,30,8,127.128358,경기도 성남시 분당구 이매동 126-10 이매역,37.396135,생활방범,역사 출입구 및 역구내,2017-11-15,130,042-615-5895
과천시시설관리공단(문원체육공원),경기도 과천시 문원동 30번지,2002-09,30,17,127.111111,경기도 과천시 문원로 56,37.421111,시설물관리,공원전체,2017-04-13,43,02-500-1163
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 분당동 108-1번지 맞은편,2011-04,,3,127.1449705,경기도 성남시 분당구 서현로429번길 30,37.3767595,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 분당동 45번지(동아빌라와 옴니빌라 사이),2013-03,,2,127.1337441,경기도 성남시 분당구 예원로 7,37.371351,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 백현동 606번지 물방울어린이공원 내부,2016-09,,4,127.115881,,37.386671,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑3동 206번지 연꽃어린이공원 내부,2016-11,,1,127.137411,,37.415241,어린이보호,,2018-04-01,200,031-729-2482
