날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
20200120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200124,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200126,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20200127,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
20200128,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
20200129,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
20200130,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
20200201,7,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0
20200202,8,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0
20200203,8,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0
20200204,8,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,0
20200205,10,0,0,1,2,0,0,0,7,0,0,0,1,0,0,0,0
20200206,12,0,0,1,2,0,0,0,7,0,0,0,1,1,0,0,0
20200207,12,0,0,1,2,0,0,0,7,0,0,0,1,1,0,0,0
20200208,12,0,0,1,2,0,0,0,7,0,0,0,1,1,0,0,0
20200209,12,0,0,1,2,0,0,0,10,0,0,0,1,1,0,0,0
20200210,12,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200211,12,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200212,12,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200213,12,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200214,12,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200215,12,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200216,14,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200217,14,0,0,1,2,0,0,0,11,0,0,0,1,1,0,0,0
20200218,14,0,1,1,2,0,0,0,12,0,0,0,1,1,0,0,0
20200219,16,0,28,1,2,0,0,0,12,0,0,0,1,1,5,0,0
20200220,16,0,40,1,2,0,0,0,12,0,0,0,1,1,9,0,0
20200221,21,0,84,1,3,0,0,0,13,0,1,1,2,1,26,2,1
20200222,23,2,151,1,6,1,0,1,15,0,3,1,3,1,132,4,2
20200223,26,9,287,2,7,2,1,1,23,6,3,1,3,1,171,11,2
20200224,30,17,439,2,9,3,1,1,35,6,3,1,3,1,190,20,2
20200225,37,35,493,2,9,3,2,1,40,6,3,1,3,1,234,21,2
20200226,45,48,677,3,9,3,3,1,43,6,5,2,3,1,270,25,2
20200227,55,56,1017,3,9,8,6,1,55,6,7,7,3,1,323,36,2
20200228,62,61,1313,4,9,12,11,1,66,6,10,16,5,1,397,46,2
20200229,74,75,2055,6,9,13,17,1,76,7,10,48,5,2,472,59,2
20200301,82,79,2567,6,9,13,17,1,84,7,11,60,5,3,520,60,2
20200302,91,85,3084,7,9,14,20,1,92,19,11,77,6,4,628,62,2
20200303,98,87,3604,7,11,14,20,1,94,20,11,81,7,4,687,63,3
20200304,98,90,4002,8,13,15,23,1,103,21,11,82,7,4,782,65,3
20200305,103,90,4328,9,13,16,23,1,110,23,12,86,7,4,863,74,4
20200306,105,93,4695,9,13,18,23,1,120,25,15,90,7,4,985,77,4
20200307,108,94,5085,9,13,18,23,2,130,26,20,92,7,4,1050,82,4
20200308,120,95,5382,9,13,18,24,3,141,27,24,98,7,4,1082,83,4
20200309,130,95,5572,9,15,18,24,6,153,28,25,102,7,4,1107,83,4
20200310,141,95,5664,13,15,18,24,8,163,28,25,104,7,4,1117,83,4
20200311,194,97,5795,25,15,18,25,10,174,29,27,112,7,4,1135,84,4
20200312,213,99,5867,25,15,20,25,15,177,29,27,114,7,4,1143,85,4
20200313,225,100,5928,27,15,22,27,32,185,29,27,115,7,4,1147,85,4
20200314,238,103,5990,28,15,22,27,38,200,29,28,115,7,4,1153,85,4
20200315,247,106,6031,29,16,22,28,39,211,29,31,115,7,4,1157,85,4
20200316,253,107,6066,30,16,22,28,40,231,29,31,115,7,4,1164,85,4
20200317,265,107,6098,31,16,22,28,40,262,29,31,115,7,4,1169,86,4
20200318,270,107,6144,32,17,22,30,41,277,30,32,118,9,5,1178,86,4
20200319,282,107,6241,32,17,22,36,41,295,30,33,118,10,5,1190,86,4
20200320,299,108,6275,36,18,22,36,41,309,30,33,119,10,5,1203,87,4
20200321,314,108,6344,40,18,22,36,41,321,30,34,119,10,5,1243,87,4
20200322,324,108,6387,40,19,24,36,41,337,30,35,120,10,6,1254,88,4
20200323,330,109,6411,40,19,24,36,42,351,30,37,120,10,6,1256,89,4
20200324,334,111,6442,41,19,24,36,42,366,30,38,120,10,6,1257,90,4
20200325,347,112,6456,42,19,24,37,44,387,31,38,123,10,8,1262,90,6
20200326,360,112,6482,43,19,30,37,44,401,31,39,124,10,8,1274,90,6
20200327,372,113,6516,46,20,31,39,44,412,31,41,124,10,8,1283,91,7
20200328,390,114,6587,51,20,31,39,44,433,32,41,126,10,8,1285,91,8
20200329,410,117,6610,58,20,34,39,46,448,34,41,127,12,9,1287,94,8
20200330,426,118,6624,58,20,34,39,46,463,36,44,127,13,9,1298,95,9
20200401,474,122,6704,69,24,36,39,46,498,38,44,131,14,12,1302,100,9
20200402,488,122,6725,73,25,36,40,46,516,39,44,133,14,14,1304,106,9
20200403,506,122,6734,74,26,36,40,46,539,41,45,134,15,15,1309,107,9
20200404,528,122,6761,77,26,36,40,46,562,42,45,135,15,15,1310,108,9
20200405,552,122,6768,79,27,37,40,46,572,45,45,135,16,15,1314,109,12
20200406,563,122,6781,80,27,39,40,46,580,45,45,136,16,15,1316,111,12
