날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
20200120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20200221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20200223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20200224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
20200225,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
20200226,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200227,0,0,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200228,0,0,5,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200229,0,0,8,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200301,0,0,9,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200302,0,0,15,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200303,0,0,20,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200304,0,0,24,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200305,0,0,27,0,0,0,0,0,1,0,0,0,0,0,7,0,0
20200306,0,0,30,0,0,0,0,0,1,0,0,0,0,0,11,0,0
20200307,0,0,31,0,0,0,0,0,1,1,0,0,0,0,11,0,0
20200308,0,0,35,0,0,0,0,0,1,1,0,0,0,0,13,0,0
20200309,0,0,35,0,0,0,0,0,1,1,0,0,0,0,14,0,0
20200310,0,0,38,0,0,0,0,0,1,1,0,0,0,0,14,0,0
20200311,0,0,44,0,0,0,0,0,1,1,0,0,0,0,14,0,0
20200312,0,0,48,0,0,0,0,0,1,1,0,0,0,0,16,0,0
20200313,0,0,48,0,0,0,0,0,2,1,0,0,0,0,16,0,0
20200314,0,0,51,0,0,0,0,0,3,1,0,0,0,0,17,0,0
20200315,0,1,53,0,0,0,0,0,3,1,0,0,0,0,17,0,0
20200316,0,1,53,0,0,0,0,0,3,1,0,0,0,0,17,0,0
20200317,0,1,57,0,0,0,0,0,3,1,0,0,0,0,19,0,0
20200318,0,1,58,0,0,0,0,0,3,1,0,0,0,0,21,0,0
20200319,0,1,65,0,0,0,0,0,3,1,0,0,0,0,21,0,0
20200320,0,1,67,0,0,0,0,0,3,1,0,0,0,0,22,0,0
20200321,0,1,73,0,0,0,0,0,3,1,0,0,0,0,24,0,0
20200322,0,1,75,0,0,0,0,0,3,1,0,0,0,0,24,0,0
20200323,0,1,82,0,0,0,0,0,3,1,0,0,0,0,24,0,0
20200324,0,1,88,0,0,0,0,0,4,1,0,0,0,0,26,0,0
20200325,0,1,92,0,0,0,0,0,4,1,0,0,0,0,28,0,0
20200326,0,2,94,0,0,0,0,0,4,1,0,0,0,0,30,0,0
20200327,0,2,98,0,0,0,0,0,4,1,0,0,0,0,34,0,0
20200328,0,2,101,0,0,0,0,0,5,1,0,0,0,0,35,0,0
20200329,0,3,106,0,0,0,0,0,5,1,0,0,0,0,37,0,0
20200330,0,3,111,0,0,0,0,0,5,1,0,0,0,0,38,0,0
20200401,0,3,115,0,0,0,1,0,6,1,0,0,0,0,39,0,0
20200402,0,3,117,0,0,0,1,0,6,1,0,0,0,0,41,0,0
20200403,0,3,121,0,0,0,1,0,6,1,0,0,0,0,42,0,0
20200404,0,3,122,0,0,0,1,0,6,1,0,0,0,0,44,0,0
20200405,0,3,127,0,0,0,1,0,7,1,0,0,0,0,44,0,0
20200406,0,3,129,0,0,0,1,0,7,1,0,0,0,0,45,0,0
20200407,0,3,134,0,0,0,1,0,7,1,0,0,0,0,46,0,0
20200408,2,3,137,0,0,0,1,0,10,1,0,0,0,0,46,0,0
20200409,2,3,139,0,0,0,1,0,11,1,0,0,0,0,47,0,0
20200410,2,3,142,0,0,0,1,0,11,1,0,0,0,0,48,0,0
20200411,2,3,145,0,0,0,1,0,11,1,0,0,0,0,48,0,0
20200412,2,3,146,0,0,0,1,0,12,1,0,0,0,0,49,0,0
20200413,2,3,147,0,0,0,1,0,13,1,0,0,0,0,50,0,0
20200414,2,3,152,0,0,0,1,0,13,1,0,0,0,0,50,0,0
