N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"77,800",200,+0.26%,100,"4,644,491","5,969,783",51.79,"11,926,444",15.08,9.99,
2,SK하이닉스,"124,000",500,+0.40%,"5,000","902,723","728,002",48.74,"3,850,683",11.21,9.53,
3,NAVER,"387,500",0,0.00%,100,"636,521","164,263",56.45,"542,376",3.84,15.22,
4,삼성바이오로직스,"958,000","54,000",+5.97%,"2,500","633,861","66,165",10.85,"284,845",154.42,N/A,
5,삼성전자우,"70,800",300,+0.43%,100,"582,604","822,887",74.60,"1,040,366",13.72,N/A,
6,카카오,"119,500","1,000",+0.84%,100,"532,713","445,785",30.95,"1,163,466",47.05,2.70,
7,LG화학,"705,000","9,000",+1.29%,"5,000","497,676","70,592",47.00,"225,209",18.37,2.93,
8,삼성SDI,"683,000","9,000",+1.34%,"5,000","469,662","68,765",45.82,"223,483",42.84,4.54,
9,현대차,"209,500",500,+0.24%,"5,000","447,635","213,668",28.70,"453,838",10.62,2.04,
10,기아,"85,700","1,400",+1.66%,"5,000","347,396","405,363",35.25,"1,012,096",7.76,5.05,
11,카카오뱅크,"63,100",500,+0.80%,"5,000","299,825","475,159",6.40,"943,517",204.21,5.08,
12,셀트리온,"206,000",500,-0.24%,"1,000","284,171","137,947",20.17,"323,750",51.41,16.68,
13,POSCO,"283,500","1,500",+0.53%,"5,000","247,175","87,187",52.69,"421,846",4.25,3.61,
14,카카오페이,"184,500","4,500",+2.50%,500,"243,257","131,847",42.54,"294,971",-917.91,-17.97,
15,크래프톤,"484,000","1,000",-0.21%,100,"236,950","48,957",30.01,"166,671",37.94,61.86,
16,KB금융,"56,600",700,-1.22%,"5,000","235,347","415,808",69.60,"817,049",5.41,8.53,
17,현대모비스,"245,000","3,000",+1.24%,"5,000","231,704","94,573",34.41,"157,183",9.86,4.66,
18,삼성물산,"117,000",500,-0.43%,100,"218,658","186,887",15.16,"200,910",13.31,3.81,
19,LG전자,"130,000",500,+0.39%,"5,000","212,742","163,648",29.77,"693,646",18.76,13.23,
20,SK이노베이션,"227,500","17,500",+8.33%,"5,000","210,359","92,466",24.06,"1,263,985","-6,691.18",-13.58,
21,SK바이오사이언스,"258,000","2,000",-0.77%,500,"197,370","76,500",6.14,"475,400",99.35,13.25,
22,신한지주,"37,550",450,+1.21%,"5,000","193,983","516,600",60.21,"900,841",4.98,8.20,
23,SK,"259,000","2,000",+0.78%,200,"182,233","70,360",19.78,"128,525",30.27,1.11,
24,LG생활건강,"1,135,000","25,000",-2.16%,"5,000","177,267","15,618",43.64,"35,978",23.62,17.92,
25,엔씨소프트,"680,000","7,000",+1.04%,500,"149,287","21,954",44.58,"210,748",41.98,20.83,
26,한국전력,"21,600",50,+0.23%,"5,000","138,664","641,964",14.69,"872,490",-12.73,2.91,
27,하이브,"333,000",500,+0.15%,500,"137,707","41,353",16.51,"107,372",118.46,12.52,
28,HMM,"28,100","1,050",+3.88%,"5,000","137,420","489,039",9.82,"3,136,030",3.54,8.93,
29,삼성전기,"181,500","1,000",+0.55%,"5,000","135,569","74,694",30.67,"452,458",13.95,10.92,
30,삼성생명,"67,600",0,0.00%,500,"135,200","200,000",12.46,"155,940",8.64,3.53,
31,하나금융지주,"43,700",50,-0.11%,"5,000","131,206","300,242",67.40,"590,298",4.08,8.96,
32,SK텔레콤,"58,700","2,700",+4.82%,100,"128,455","218,833",43.44,"1,812,976",9.11,6.44,
33,LG,"81,600",200,+0.25%,"5,000","128,358","157,301",36.43,"640,503",5.38,7.50,
34,SK아이이테크놀로지,"173,000","2,500",+1.47%,"1,000","123,345","71,298",11.39,"316,041",113.74,11.00,
35,삼성에스디에스,"158,500",500,+0.32%,500,"122,644","77,378",11.35,"67,488",18.05,6.71,
36,KT&G,"84,700",600,+0.71%,"5,000","116,287","137,292",35.52,"543,580",9.77,13.22,
37,포스코케미칼,"145,000",500,+0.35%,500,"112,322","77,463",6.39,"144,675",80.96,2.96,
38,두산중공업,"21,500",200,-0.92%,"5,000","111,934","520,622",8.35,"2,730,810",61.60,-37.20,
39,아모레퍼시픽,"180,000","9,500",-5.01%,500,"105,287","58,493",31.12,"243,486",69.42,0.78,
40,넷마블,"119,000","1,000",+0.85%,100,"102,285","85,954",22.81,"133,632",44.01,6.35,
41,대한항공,"29,000",100,-0.34%,"5,000","100,868","347,821",11.69,"828,317",13.62,-7.22,
42,S-Oil,"89,200",700,+0.79%,"2,500","100,424","112,583",77.81,"156,779",8.59,-13.07,
